Edad,px,lx,dx
15,0.999615,19554229,7529
16,0.999605,19546700,7721
17,0.999595,19538979,7913
18,0.999565,19531066,8496
19,0.999535,19522570,9078
20,0.999485,19513492,10050
21,0.99944,19503442,10921
22,0.99938,19492521,12086
23,0.999315,19480435,13344
24,0.999245,19467091,14698
25,0.999175,19452393,16048
26,0.9991,19436345,17493
27,0.999025,19418852,18933
28,0.998945,19399919,20467
29,0.998865,19379452,21996
30,0.99878,19357456,23616
31,0.9987,19333840,25134
32,0.99861,19308706,26839
33,0.99852,19281867,28537
34,0.998415,19253330,30516
35,0.99831,19222814,32487
36,0.99819,19190327,34734
37,0.99806,19155593,37162
38,0.99792,19118431,39767
39,0.997755,19078664,42831
40,0.99758,19035833,46067
41,0.99738,18989766,49753
42,0.997155,18940013,53884
43,0.9969,18886129,58547
44,0.996615,18827582,63732
45,0.996285,18763850,69708
46,0.995925,18694142,76178
47,0.99551,18617964,83595
48,0.995055,18534369,91652
49,0.99455,18442717,100513
50,0.994,18342204,110053
51,0.993395,18232151,120424
52,0.992755,18111727,131219
53,0.992085,17980508,142316
54,0.991415,17838192,153141
55,0.990755,17685051,163498
56,0.98994,17521553,176267
57,0.98942,17345286,183513
58,0.988995,17161773,188865
59,0.98958,16972908,176858
60,0.3984,16796050,10104504
61,0.548855,6691546,3018858
62,0.657955,3672688,1256225
63,0.68146,2416463,769740
64,0.71303,1646723,472560
65,0.477945,1174163,612978
66,0.588075,561185,231166
67,0.61545,330019,126909
68,0.63751,203110,73626
69,0.654945,129484,44679
70,0.6684,84805,28122
71,0.67846,56683,18226
72,0.68565,38457,12089
73,0.69044,26368,8163
74,0.69325,18205,5584
75,0.69447,12621,3856
76,0.694465,8765,2678
77,0.69359,6087,1866
78,0.69217,4221,1299
79,0.69054,2922,905
80,0.689005,2017,627
81,0.68786,1390,434
82,0.687345,956,299
83,0.687665,657,205
84,0.68892,452,141
85,0.691105,311,96
86,0.694045,215,66
87,0.697265,149,45
88,0.70007,104,32
89,0.70102,72,21
90,0.697875,51,16
91,0.68682,35,11
92,0.66083,24,8
93,0.60491,16,7
94,0.48956,9,5
95,0.312065,4,3
96,0.17244,1,1
97,0.106735,0,0
98,0.097435,0,0
99,0.10553,0,0
100,0.112475,0,0
101,0.112475,0,0
102,0.112475,0,0
103,0.112475,0,0
104,0.112475,0,0
105,0.112475,0,0
106,0.112475,0,0
107,0.112475,0,0
108,0.112475,0,0
109,0.112475,0,0
110,0.112475,0,0
